,0,1
292,404,44
293,243,34
294,285,41
295,241,42
296,274,1
297,201,41
298,234,39
299,278,40
300,258,44
301,71,47
302,280,39
303,121,28
304,232,31
305,71,44
306,155,46
307,223,33
308,256,38
309,585,17
310,231,44
311,155,191
312,211,51
313,208,44
314,327,36
315,243,37
316,249,40
317,129,27
318,148,45
319,160,46
320,247,35
321,115,32
322,184,122
323,207,49
324,594,17
325,276,40
326,348,37
327,227,32
328,917,11
329,259,38
330,237,1
331,340,36
332,259,42
333,239,42
334,250,35
335,202,34
336,252,43
337,648,17
338,239,1
339,249,40
340,257,41
341,191,33
342,409,43
343,597,16
344,201,41
345,259,1
346,899,10
347,274,41
348,155,47
349,199,34
350,249,40
351,245,38
352,179,123
353,226,41
354,274,45
355,867,11
356,285,1
357,46,15
358,201,41
359,341,35
360,254,45
361,296,39
362,224,38
363,896,11
364,184,34
365,250,42
366,416,43
367,249,39
368,162,47
369,253,42
370,346,40
371,48,17
372,239,40
373,393,42
374,232,43
375,153,48
376,176,127
377,47,16
378,260,40
379,212,39
380,282,44
381,259,41
382,341,36
383,261,41
384,254,36
385,239,39
386,209,32
387,227,43
388,48,17
389,267,41
390,222,37
391,238,40
392,249,44
393,875,9
394,450,49
395,71,48
396,458,38
397,293,39
398,267,38
399,122,26
400,148,197
401,266,46
402,399,44
403,211,47
404,244,40
405,188,32
406,286,39
407,238,41
408,281,1
409,233,42
410,343,35
411,320,34
412,403,56
413,274,1
414,242,40
415,266,47
416,257,40
417,48,17
418,252,40
419,247,42
420,254,39
421,197,31
422,148,49
423,252,42
424,284,1
425,250,39
426,157,46
427,233,40
428,247,40
429,248,46
430,176,128
431,240,42
432,249,39
433,978,10
434,313,36
435,246,40
436,201,39
437,233,31
438,205,32
439,70,42
440,220,29
441,286,42
442,195,33
443,236,43
444,573,18
445,255,42
446,279,36
447,242,40
448,278,39
449,111,30
450,245,41
451,989,12
452,46,15
453,232,37
454,251,40
455,215,48
456,210,33
457,71,46
458,216,47
459,241,42
460,173,127
461,173,126
462,248,41
463,242,40
464,253,42
465,344,34
466,255,41
467,241,41
468,153,194
469,250,35
470,231,0
471,250,35
472,213,48
473,153,193
474,185,39
475,242,42
476,277,40
477,234,44
478,209,48
479,226,42
480,48,17
481,232,40
482,239,39
483,253,40
484,178,128
485,223,46
486,458,57
487,243,43
488,47,18
489,260,41
490,196,35
491,232,45
492,235,42
493,250,35
494,203,32
495,259,45
496,250,42
497,418,38
498,406,42
499,209,49
500,262,40
501,252,1
502,197,32
503,241,39
504,170,126
505,233,48
506,232,39
507,440,55
508,154,48
509,429,59
510,341,36
511,301,38
512,240,41
513,198,34
514,259,36
515,123,25
516,180,125
517,252,40
518,256,42
519,235,41
520,153,47
521,209,42
522,223,44
523,442,58
524,253,40
525,205,33
526,233,39
527,565,18
528,290,44
529,267,44
530,441,56
531,234,42
532,148,42
533,126,27
534,69,47
535,175,126
536,172,36
537,276,45
538,216,43
539,292,44
540,253,38
541,521,48
542,253,1
543,255,41
544,235,42
545,420,37
546,262,45
547,158,45
548,277,40
549,156,46
550,243,32
551,152,47
552,274,44
553,244,41
554,261,42
555,258,42
556,173,121
557,253,39
558,256,0
559,249,41
560,247,42
561,335,34
562,157,49
563,131,27
564,71,47
565,277,43
566,329,37
567,251,41
568,148,195
569,220,39
570,228,37
571,158,47
572,249,35
573,262,41
574,253,43
575,241,41
576,351,35
577,212,50
578,243,41
579,217,39
580,336,35
581,157,46
582,241,42
583,191,118
584,237,30
585,176,124
586,409,41
587,243,46
588,248,34
589,254,39
590,283,40
591,244,44
592,907,10
593,199,47
594,242,0
595,335,33
596,151,195
597,248,40
598,153,195
599,270,41
600,224,0
601,889,12
602,235,0
603,292,40
604,583,19
605,217,34
606,263,38
607,124,27
608,247,41
609,262,40
610,244,42
611,202,46
612,72,47
613,251,35
614,114,28
615,254,43
616,263,37
617,254,41
618,273,43
619,875,11
620,258,42
621,211,42
622,241,41
623,440,55
624,232,29
625,230,32
626,128,28
627,229,0
628,123,27
629,157,193
630,248,42
631,71,47
632,161,196
633,441,56
634,274,41
635,173,126
636,179,120
637,921,11
638,255,40
639,47,17
640,234,40
641,160,45
642,440,55
643,204,49
644,255,39
645,71,46
646,226,44
647,264,41
648,249,36
649,257,0
650,211,42
651,72,48
652,926,12
653,226,1
654,271,0
655,150,194
656,251,41
657,344,35
658,226,30
659,272,37
660,250,40
661,909,11
662,247,43
663,893,11
664,557,18
665,271,40
666,180,121
667,237,44
668,153,48
669,182,127
670,233,31
671,592,16
672,155,48
673,263,42
674,440,55
675,252,38
676,263,41
677,237,41
678,126,28
679,332,37
680,152,47
681,248,31
682,251,41
683,253,42
684,269,41
685,825,12
686,181,124
687,440,55
688,875,11
689,239,36
690,243,42
691,440,55
692,185,39
693,149,195
694,210,41
695,71,47
696,120,26
697,269,45
698,398,44
699,222,0
700,253,44
701,408,42
702,236,40
703,260,42
704,580,18
705,175,128
706,223,46
707,257,42
708,236,42
709,260,43
710,226,36
711,595,16
712,150,196
713,271,41
714,281,40
715,874,11
716,208,40
717,123,28
718,262,38
719,255,42
720,231,43
721,402,41
722,252,40
723,835,13
724,259,40
725,153,196
726,440,37
727,47,17
728,199,41
729,152,196
730,216,40
731,269,44
732,71,48
733,214,38
734,270,38
735,247,45
736,73,46
737,123,28
738,251,42
739,440,55
740,296,40
741,207,48
742,248,41
743,193,31
744,875,10
745,149,194
746,919,11
747,411,44
748,420,41
749,205,32
750,250,35
751,253,42
752,269,41
753,277,47
754,253,41
755,47,15
756,323,38
757,216,37
758,235,43
759,242,41
760,215,48
761,239,0
762,549,18
763,263,37
764,243,41
765,118,28
766,119,28
767,247,40
768,48,16
769,243,41
770,287,1
771,151,195
772,309,48
773,250,35
774,197,37
775,69,48
776,880,11
777,245,39
778,233,31
779,70,44
780,936,11
781,289,42
782,47,16
783,229,32
784,233,40
785,249,43
786,429,38
787,250,42
788,151,196
789,119,28
790,237,40
791,568,18
792,283,1
793,244,42
794,49,16
795,218,47
796,157,47
797,265,38
798,292,1
799,265,44
800,296,47
801,395,42
802,217,41
803,461,56
804,192,48
805,408,42
806,263,40
807,251,41
808,151,194
809,264,41
810,123,27
811,249,41
812,261,45
813,223,31
814,249,44
815,224,29
816,251,43
817,276,1
818,253,1
819,264,41
820,274,1
821,73,50
822,205,40
823,236,39
824,197,35
825,335,35
826,126,28
827,585,15
828,270,46
829,254,39
830,469,37
831,153,197
832,250,35
833,255,1
834,235,45
835,215,48
836,358,36
837,239,38
838,245,41
839,461,55
840,265,46
841,245,43
842,252,40
843,114,30
844,285,43
845,247,43
846,115,28
847,151,48
848,175,43
849,282,42
850,275,41
851,440,55
852,247,28
853,72,43
854,161,51
855,244,43
856,274,43
857,237,31
858,229,0
859,200,0
860,152,191
861,234,0
862,230,31
863,260,41
864,228,43
865,202,33
866,408,42
867,265,41
868,184,127
869,259,1
870,238,0
871,116,26
872,47,17
873,123,28
874,153,197
875,332,36
876,234,40
877,319,1
878,318,38
879,123,28
880,262,46
881,254,41
882,254,45
883,263,1
884,234,30
885,238,42
886,230,30
887,247,43
888,255,45
889,272,42
890,610,18
891,72,44
892,239,42
893,69,47
894,251,43
895,194,34
896,261,39
897,258,39
898,339,36
899,195,38
900,227,38
901,150,196
902,47,17
903,240,0
904,258,39
905,167,44
906,241,40
907,203,32
908,246,31
909,253,0
910,233,31
911,212,31
912,253,45
913,437,38
914,242,0
915,234,31
916,599,16
917,247,41
918,185,33
919,265,42
920,69,40
921,403,39
922,236,30
923,265,41
924,241,39
925,252,41
926,235,43
927,866,11
928,156,46
929,234,37
930,126,27
931,280,37
932,223,38
933,256,42
934,271,1
935,255,40
936,72,47
937,284,44
938,175,128
939,151,196
940,157,43
941,261,40
942,440,55
943,239,42
944,234,42
945,382,36
946,351,34
947,239,42
948,152,195
949,175,122
950,907,12
951,293,41
952,72,46
953,179,124
954,322,39
955,254,29
956,187,33
957,71,49
958,123,29
959,150,196
960,154,47
961,272,40
962,410,42
963,244,42
964,209,39
965,179,123
966,249,39
967,409,42
968,270,45
969,247,41
970,233,30
971,260,42
972,251,42
973,263,44
974,73,44
975,253,45
976,192,117
977,47,15
978,179,45
979,250,35
980,220,0
981,219,33
982,230,42
983,239,29
984,260,28
985,219,26
986,265,42
987,156,47
988,271,43
989,249,42
990,317,43
991,254,40
992,421,53
993,46,16
994,247,42
995,244,40
996,418,40
997,240,40
998,250,35
999,207,41
1000,50,17
1001,250,40
1002,263,46
1003,251,37
1004,231,41
1005,178,115
1006,250,35
1007,253,40
